ΚΩΔΙΚΟΣ,ΕΠΟΠΤΕΥΩΝ ΦΟΡΕΑΣ,ΔΙΑΚΡΙΤΙΚΟΣ ΤΙΤΛΟΣ ,ΙΔΙΟΚΤΗΤΗΣ,ΝΟΜΙΜΟΣ ΕΚΠΡΟΣΩΠΟΣ,ΤΑΧΥΔΡΟΜΙΚΗ Δ/ΝΣΗ ΣΧΟΛΕΙΟΥ ,"ΑΡΙΘ. ΑΠΟΦ. ΧΟΡΗΓ. ΑΡΧ. ΑΔΕΙΑΣ, ΦΕΚ ΔΗΜΟΣ.",ΠΑΡΑΤΗΡΗΣΕΙΣ/ ΜΕΤΑΒΟΛΕΣ / ΤΡΟΠΟΠΟΙΗΣΕΙΣ
7053023,Δ/ΝΣΗ Π.Ε. ΑΘΗΝΑΣ Γ΄,ΙΔΙΩΤΙΚΟ ΣΥΣΤΕΓΑΖΟΜΕΝΟ ΝΗΠΙΑΓΩΓΕΙΟ - ΦΩΤΕΙΝΟΣ ΓΕΩΡΓΙΟΣ,ΦΩΤΕΙΝΟΣ ΓΕΩΡΓΙΟΣ,ΦΩΤΕΙΝΟΣ ΓΕΩΡΓΙΟΣ,ΑΙΤΩΛΟΥ 4 ΚΑΙ ΑΛΕΞΑΝΔΡΑΣ Τ.Κ. 13451 ΚΑΜΑΤΕΡΟ ΤΗΛ.: 210-2381088,"112777/Δ5/14-8-2013,ΦΕΚ 148/Β/28-1-14",80432/Ν1/17-05-2018 ΦΕΚ 07-06-2018
7053027,Δ/ΝΣΗ Π.Ε. ΑΘΗΝΑΣ Γ΄,ΙΔΙΩΤΙΚΟ ΝΗΠΙΑΓΩΓΕΙΟ - ΠΑΙΔΙΚΟ ΠΟΛΥΤΕΧΝΕΙΟ,Μ.ΓΙΑΝΝΙΚΑΚΗ ΚΑΙ ΣΙΑ ΟΕ,ΠΑΠΑΣΤΑΜΑΤΙΟΥ ΣΤΑΜΑΤΙΟΣ,ΡΟΔΟΥ 11 Τ.Κ. 12461 ΧΑΪΔΑΡΙ ΤΗΛ.: 210-5910900,"Φ2ΓΑ/172083/Δ5/13-11-2013,ΦΕΚ  384/Β/18-2-14","167350/Ν1/25-10-2019 , ΦΕΚ 4561/Β/13-12-2019"
7053029,Δ/ΝΣΗ Π.Ε. ΑΘΗΝΑΣ Γ΄,ΙΔΙΩΤΙΚΟ ΝΗΠΙΑΓΩΓΕΙΟ - Α. ΣΟΦΙΟΥ ΕΕ,Α. ΣΟΦΙΟΥ ΕΕ,ΣΟΦΙΟΥ ΑΡΙΣΤΕΑ,ΔΙΟΝΥΣΙΟΥ 63 & ΦΘΙΩΤΙΔΟΣ Τ.Κ. 13122 ΙΛΙΟΝ ΤΗΛ.: 210-264978,"Φ2Β/150652/Δ5/16-10-2013,ΦΕΚ 621/Β/ 12-3-14",
7053031,Δ/ΝΣΗ Π.Ε. ΑΘΗΝΑΣ Γ΄,ΙΔΙΩΤΙΚΟ ΣΥΣΤΕΓΑΖΟΜΕΝΟ ΝΗΠΙΑΓΩΓΕΙΟ - Η ΛΙΛΙΠΟΥΠΟΛΗ,ΚΟΥΡΑΤΟΡΑ ΑΙΚΑΤΕΡΙΝΗ  ΚΑΙ ΣΙΑ Ο.Ε.,ΚΟΥΡΑΤΟΡΑ ΑΙΚΑΤΕΡΙΝΗ,28ΗΣ ΟΚΤΩΒΡΙΟΥ 44-46 Τ.Κ. 13231 ΠΕΤΡΟΥΠΟΛΗ ΤΗΛ.: 210-5018800,"Φ2ΓΑ/125725/Δ5/11-9-2013,ΦΕΚ 285/Β/10-2-14","72900/Ν1/08-05-2018 ΦΕΚ 1861/Β/24-05-2018
52250/Ν1/12-05-2021,ΦΕΚ 2101/Β'/12-05-2021"
7053037,Δ/ΝΣΗ Π.Ε. ΑΘΗΝΑΣ Γ΄,2Ο ΙΔΙΩΤΙΚΟ ΝΗΠΙΑΓΩΓΕΙΟ - ΙΩΑΝΝΗΣ ΤΣΙΑΜΟΥΛΗΣ,ΙΩΑΝΝΗΣ ΤΣΙΑΜΟΥΛΗΣ ,ΙΩΑΝΝΗΣ ΤΣΙΑΜΟΥΛΗΣ ,ΦΕΡΩΝ 1 ΚΑΙ ΝΑΥΤΙΛΟΥ-ΠΕΛΟΠΙΔΑ Τ.Κ. 12135 ΠΕΡΙΣΤΕΡΙ ΤΗΛ.: 210-5711513 210-5717710 210-5717015,"Φ2Α/179434/Δ5/25-11-2013,ΦΕΚ  384/Β/ 18-2-14",
7053039,Δ/ΝΣΗ Π.Ε. ΑΘΗΝΑΣ Γ΄,ΙΔΙΩΤΙΚΟ ΣΥΣΤΕΓΑΖΟΜΕΝΟ ΝΗΠΙΑΓΩΓΕΙΟ - ΜΑΓΙΚΟΣ ΚΟΣΜΟΣ,ΧΡΗΣΤΟΣ ΖΩΓΑΣ - ΔΙΟΝΥΣΙΟΣ ΖΩΓΑΣ Ι.Κ.Ε ,ΖΩΓΑΣ ΧΡΗΣΤΟΣ,ΘΕΡΣΙΤΟΥ 80 Τ.Κ. 13122 ΙΛΙΟΝ ΤΗΛ.: 210-2611867,"Φ2ΓΒ/167544/Δ5/6-11-2013,ΦΕΚ 359/Β/ 14-2-14",ΜΕΤΑΒΙΒΑΣΗ  46238/Ν1/26-3-2019 ΦΕΚ 1274/Β/15-4-2019
7053041,Δ/ΝΣΗ Π.Ε. ΑΘΗΝΑΣ Γ΄,ΙΔΙΩΤΙΚΟ ΣΥΣΤΕΓΑΖΟΜΕΝΟ ΝΗΠΙΑΓΩΓΕΙΟ - ΑΣΤΕΡΑΚΙ,ΚΥΝΗΓΟΠΟΥΛΟΥ ΜΕΛΠΟΜΕΝΗ - ΚΥΝΗΓΟΠΟΥΛΟΥ ΙΟΡΔΑΝΑ ΟΕ,ΚΥΝΗΓΟΠΟΥΛΟΥ ΙΟΡΔΑΝΑ,Κ. ΒΑΡΝΑΛΗ 79 Τ.Κ. 12134 ΠΕΡΙΣΤΕΡΙ ΑΤΤΙΚΗΣ ΤΗΛ.: 210-5751252,"Φ2ΓΒ/149132/Δ5/14-10-2013,ΦΕΚ 632/Β/  13-3-14","162589/Ν1/17-10-2019 , ΦΕΚ 3941/Β/25-10-2019"
7053047,Δ/ΝΣΗ Π.Ε. ΑΘΗΝΑΣ Γ΄,ΙΔΙΩΤΙΚΟ ΣΥΣΤΕΓΑΖΟΜΕΝΟ ΝΗΠΙΑΓΩΓΕΙΟ - ΧΑΛΚΙΑΣ ΓΕΩΡΓΙΟΣ,ΧΑΛΚΙΑΣ ΓΕΩΡΓΙΟΣ,ΧΑΛΚΙΑΣ ΓΕΩΡΓΙΟΣ,ΗΛΙΑ ΒΕΝΕΖΗ 37 Τ.Κ. 12461 ΧΑΪΔΑΡΙ ΤΗΛ.: 210-5819287 210-5983953,"Φ2ΓΒ/150693/Δ5/16-10-2013,ΦΕΚ 659/Β/17-3 -14",
7053049,Δ/ΝΣΗ Π.Ε. ΑΘΗΝΑΣ Γ΄,ΙΔΙΩΤΙΚΟ ΣΥΣΤΕΓΑΖΟΜΕΝΟ ΝΗΠΙΑΓΩΓΕΙΟ - ΣΟΥΧΛΑΚΗ ΣΤΥΛΙΑΝΗ ΚΑΙ ΣΙΑ ΟΕ - ΠΙΤΣΙΡΙΚΟΠΑΡΕΑ,ΣΟΥΧΛΑΚΗ ΣΤΥΛΙΑΝΗ ΚΑΙ ΣΙΑ ΟΕ,ΣΟΥΧΛΑΚΗ ΣΤΥΛΙΑΝΗ,ΠΡΙΑΜΟΥ 159 Τ.Κ. 13122 ΙΛΙΟΝ ΤΗΛ.: 210-2616661 210-2632060,"Φ2ΓΑ/148604/Δ5/14-10-2013,ΦΕΚ 621/Β/12-3-14",
7053051,Δ/ΝΣΗ Π.Ε. ΑΘΗΝΑΣ Γ΄,ΙΔΙΩΤΙΚΟ ΣΥΣΤΕΓΑΖΟΜΕΝΟ ΝΗΠΙΑΓΩΓΕΙΟ - GREEN SCΗOOL,ΠΑΓΑΝΕΛΗ ΜΑΡΙΑ - ΜΑΝΟΥΕΛΑ - ΘΕΟΔΩΡΙΔΟΥ ΑΓΓΕΛΙΚΗ Ο.Ε.,ΘΕΟΔΩΡΙΔΟΥ ΑΓΓΕΛΙΚΗ,ΣΚΟΥΦΑ 1 Τ.Κ. 13451 ΚΑΜΑΤΕΡΟ ΤΗΛ.: 215-5404044,"Φ2ΓΒ/155349/Δ5/22-10-2013,ΦΕΚ 316/Β/12-2-14","ΤΡΟΠΟΠΟΙΗΣΗ ΕΠΩΝΥΜΙΑΣ 203808/Δ1/14-12-2015 ΦΕΚ 2886/Β/30-12-2015
150246/Ν1/05-12-2022 , ΦΕΚ 6385/Β/15-12-2022"
7053053,Δ/ΝΣΗ Π.Ε. ΑΘΗΝΑΣ Γ΄,ΙΔΙΩΤΙΚΟ ΣΥΣΤΕΓΑΖΟΜΕΝΟ ΝΗΠΙΑΓΩΓΕΙΟ - ΚΟΛΕΛΗ ΑΙΜΙΛΙΑ,ΚΟΛΕΛΗ ΑΙΜΙΛΙΑ,ΚΟΛΕΛΗ ΑΙΜΙΛΙΑ,ΠΑΤΡΟΚΛΟΥ 51 Τ.Κ. 13122 ΙΛΙΟΝ ΤΗΛ.: 210-2611480 210-2612480,"Φ2ΓΑ/167534/Δ5/6-11-2013,ΦΕΚ 450/Β/24-2-14",
7053055,Δ/ΝΣΗ Π.Ε. ΑΘΗΝΑΣ Γ΄,ΙΔΙΩΤΙΚΟ ΣΥΣΤΕΓΑΖΟΜΕΝΟ ΝΗΠΙΑΓΩΓΕΙΟ - ΤΑΤΣΙΟΥ ΚΩΝΣΤΑΝΤΙΝΑ,ΤΑΤΣΙΟΥ ΚΩΝΣΤΑΝΤΙΝΑ,ΤΑΤΣΙΟΥ ΚΩΝΣΤΑΝΤΙΝΑ,ΕΛ. ΒΕΝΙΖΕΛΟΥ 81 Τ.Κ. 13231 ΠΕΤΡΟΥΠΟΛΗ ΤΗΛ.: 210-5059534,"Φ2ΓΒ/155344/Δ5/22-10-2013,ΦΕΚ 316/Β/12-2-14",
7053057,Δ/ΝΣΗ Π.Ε. ΑΘΗΝΑΣ Γ΄,2Ο ΙΔΙΩΤΙΚΟ ΝΗΠΙΑΓΩΓΕΙΟ - ΠΑΙΔΟΣΤΡΟΒΙΛΟΣ, Φ. ΛΥΣΣΑΡΗ - Φ. ΠΑΝΑΓΟΠΟΥΛΟΥ Ο.Ε.,ΦΑΙΔΡΑ ΠΑΝΑΓΟΠΟΥΛΟΥ,"ΕΛ. ΒΕΝΙΖΕΛΟΥ 204 ,ΠΕΤΡΟΥΠΟΛΗ , ΤΚ 13231 , ΤΗΛ 2114057692", 33278/Ν1/06-03-2020 ΦΕΚ 829/Β/12-03-2020,
7053063,Δ/ΝΣΗ Π.Ε. ΑΘΗΝΑΣ Γ΄,ΙΔΙΩΤΙΚΟ ΣΥΣΤΕΓΑΖΟΜΕΝΟ ΝΗΠΙΑΓΩΓΕΙΟ - ΠΑΠΑΝΙΚΟΛΑΟΥ ΣΠΥΡΙΔΩΝ,ΠΑΠΑΝΙΚΟΛΑΟΥ ΣΠΥΡΙΔΩΝ,ΠΑΠΑΝΙΚΟΛΑΟΥ ΣΠΥΡΙΔΩΝ,"ΚΥΠΡΟΥ 46, Τ.Κ. 13231 ΠΕΤΡΟΥΠΟΛΗ ΤΗΛ.: 210-5021770","Φ2ΓΒ/186394/Δ5/5-12-2013, ΦΕΚ 416/Β/20-2-14","ΜΕΤΑΒΙΒΑΣΗ: 129724/Ν1/10-11-2023, ΦΕΚ 6530/Β/16-11-2023   "
7053065,Δ/ΝΣΗ Π.Ε. ΑΘΗΝΑΣ Γ΄,ΙΔΙΩΤΙΚΟ ΣΥΣΤΕΓΑΖΟΜΕΝΟ ΝΗΠΙΑΓΩΓΕΙΟ - ΔΗΜΑΚΟΠΟΥΛΟΥ ΑΓΓΕΛΙΚΗ,ΔΗΜΑΚΟΠΟΥΛΟΥ ΑΓΓΕΛΙΚΗ,ΔΗΜΑΚΟΠΟΥΛΟΥ ΑΓΓΕΛΙΚΗ,ΑΓΙΑΣ ΣΟΦΙΑΣ 82 Τ.Κ. 13121 ΙΛΙΟΝ ΤΗΛ.: 210-5025236,"Φ2ΓΒ/149540/Δ5/15-10-2013,ΦΕΚ 637/Β/13-3-14",
7053095,Δ/ΝΣΗ Π.Ε. ΑΘΗΝΑΣ Γ΄,ΙΔΙΩΤΙΚΟ ΣΥΣΤΕΓΑΖΟΜΕΝΟ ΝΗΠΙΑΓΩΓΕΙΟ - Ο ΚΟΣΜΟΣ ΤΟΥ ΠΑΙΔΙΟΥ,ΚΩΝΣΤΑΝΤΙΝΙΔΟΥ ΓΕΩΡΓΙΑ,ΚΩΝΣΤΑΝΤΙΝΙΔΟΥ ΓΕΩΡΓΙΑ,ΧΙΟΥ 4 Τ.Κ. 12133 ΠΕΡΙΣΤΕΡΙ ΑΤΤΙΚΗΣ ΤΗΛ.: 210-5765873,"Φ2ΓΑ/62615/Δ5/23-4-2014,ΦΕΚ 1122/Β/ 5 -5-14","ΤΡΟΠΟΠΟΙΗΣΗ 139028/N1/13-10-2020, ΦΕΚ 4844/Β'/04-11-2020"
7053069,Δ/ΝΣΗ Π.Ε. ΑΘΗΝΑΣ Γ΄,ΙΔΙΩΤΙΚΟ ΣΥΣΤΕΓΑΖΟΜΕΝΟ ΝΗΠΙΑΓΩΓΕΙΟ - ΒΑΡΔΑΚΟΥΛΙΑ ΕΥΘΥΜΙΑ,ΒΑΡΔΑΚΟΥΛΙΑ ΕΥΘΥΜΙΑ,ΒΑΡΔΑΚΟΥΛΙΑ ΕΥΘΥΜΙΑ,"ΔΗΜΟΣΘΕΝΟΥΣ 50 , ΠΕΡΙΣΤΕΡΙ (BABYLAND)","177941/Ν1/14-11-2019 , ΦΕΚ 4291/Β/27-11-2019
ΔΙΟΡΘΩΣΗ 5154/Β/31-12-2019",
7053075,Δ/ΝΣΗ Π.Ε. ΑΘΗΝΑΣ Γ΄,ΙΔΙΩΤΙΚΟ ΝΗΠΙΑΓΩΓΕΙΟ - ΑΛΕΞΑΝΔΡΟΥ ΧΡΥΣΟΥΛΑ,ΑΛΕΞΑΝΔΡΟΥ ΧΡΥΣΟΥΛΑ,ΑΛΕΞΑΝΔΡΟΥ ΧΡΥΣΟΥΛΑ,ΚΗΠΟΥΠΟΛΕΩΣ 35 Τ.Κ. 12137 ΠΕΡΙΣΤΕΡΙ ΤΗΛ.: 210-5029200 ΦΑΞ: 210-5029200,"145277/Ν1/04-09-2017,ΦΕΚ 3085/Β/6-9-2017",
7053077,Δ/ΝΣΗ Π.Ε. ΑΘΗΝΑΣ Γ΄,ΙΔΙΩΤΙΚΟ ΣΥΣΤΕΓΑΖΟΜΕΝΟ ΝΗΠΙΑΓΩΓΕΙΟ - Ο ΚΟΣΜΟΣ ΤΟΥ ΠΑΙΔΙΟΥ (2Ο),ΚΩΝΣΤΑΝΤΙΝΙΔΟΥ ΓΕΩΡΓΙΑ &ΣΙΑ ΟΕ,ΚΩΝΣΤΑΝΤΙΝΙΔΟΥ ΓΕΩΡΓΙΑ,ΑΓ.ΠΑΡΑΣΚΕΥΗΣ 26 Τ.Κ. 12132 ΠΕΡΙΣΤΕΡΙ ΤΗΛ.: 210-5755300,"182354/Ν1/26-10-2017,ΦΕΚ  3893/Β/06-11-2017",
7053079,Δ/ΝΣΗ Π.Ε. ΑΘΗΝΑΣ Γ΄,ΙΔΙΩΤΙΚΟ ΝΗΠΙΑΓΩΓΕΙΟ - ΝΕΑ ΠΑΙΔΕΙΑ (2Ο),ΜΑΡΙΑ ΝΤΑΓΚΑ & ΣΙΑ Ο.Ε.,ΝΤΑΓΚΑ ΜΑΡΙΑ,ΚΥΠΡΙΩΝ ΑΓΩΝΙΣΤΩΝ 4 Τ.Κ. 12462 ΧΑΪΔΑΡΙ ΤΗΛ.: 210-53.22.540,"211872/Ν1/04-12-2017,ΦΕΚ  4494/Β/20-12-2017",ΤΡΟΠΟΠΟΙΗΣΗ:8134/Ν1/25-1-2024 ΦΕΚ790/Β/2-2-2024
7053081,Δ/ΝΣΗ Π.Ε. ΑΘΗΝΑΣ Γ΄,ΙΔΙΩΤΙΚΟ ΣΥΣΤΕΓΑΖΟΜΕΝΟ ΝΗΠΙΑΓΩΓΕΙΟ-ΒΑΦΕΙΑΔΑΚΕΙΟ,ΕΝΟΡΙΑΚΟ ΦΙΛΟΠΤΩΧΟ ΤΑΜΕΙΟ ΑΓ. ΑΝΑΡΓΥΡΩΝ ΤΟΥ ΓΕΝΙΚΟΥ ΦΙΛΟΠΤΩΧΟΥ ΤΑΜΕΙΟΥ ΤΗΣ ΙΕΡΑΣ ΑΡΧΙΕΠΙΣΚΟΠΗΣ ΑΘΗΝΩΝ, Π. ΝΙΚΟΛΑΟΣ ΓΙΑΝΝΑΚΙΔΗΣ,ΜΑΡΑΘΟΝΟΜΑΧΩΝ 2-4 Τ.Κ. 13562 ΑΓΙΟΙ ΑΝΑΡΓΥΡΟΙ ΤΗΛ.: 210-2311119,"72021/Ν1/07-05-2018,ΦΕΚ 1799/Β/21-05-2018","145612/N1/19-09-2019 ,ΦΕΚ 3665/Β/02-10-2019
119943/Ν1/24-09-2021 , ΦΕΚ 4600/Β/06-10-2021"
7053083,Δ/ΝΣΗ Π.Ε. ΑΘΗΝΑΣ Γ΄,ΙΔΙΩΤΙΚΟ ΣΥΣΤΕΓΑΖΟΜΕΝΟ ΝΗΠΙΑΓΩΓΕΙΟ - ΠΡΩΤΗ ΠΡΟΒΑ,Π.ΔΙΑΜΑΝΤΟΠΟΥΛΟΥ & ΣΙΑ Ε.Ε.,ΔΙΑΜΑΝΤΟΠΟΥΛΟΥ ΠΕΡΣΕΦΟΝΗ,ΑΝΘΕΩΝ 4-6 Τ.Κ. 12461 ΧΑΪΔΑΡΙ ΤΗΛ.: 210-5326644,"163525/Ν1/02-10-2018,ΦΕΚ 4508/Β/15-10-2018",
7053085,Δ/ΝΣΗ Π.Ε. ΑΘΗΝΑΣ Γ΄,ΙΔΙΩΤΙΚΟ ΝΗΠΙΑΓΩΓΕΙΟ - ΙΔΙΩΤΙΚΟ ΝΗΠΙΑΓΩΓΕΙΟ - ΔΗΜΟΤΙΚΟ ΑΦΟΙ ΚΑΣΣΑΒΗΤΑ Ο.Ε.,ΓΕΩΡΓΙΟΣ ΚΑΣΣΑΒΗΤΑΣ ΚΑΙ ΣΙΑ Ο.Ε.,ΓΕΩΡΓΙΟΣ ΚΑΣΣΑΒΗΤΑΣ,ΘΡΑΚΗΣ 75 Τ.Κ. 13231 ΠΕΤΡΟΥΠΟΛΗ ΤΗΛ.: 210-5012151,"209895/Ν1/5-12-2018,ΦΕΚ 5691/Β/18-12-2018",
7053087,Δ/ΝΣΗ Π.Ε. ΑΘΗΝΑΣ Γ΄,ΙΔΙΩΤΙΚΟ ΣΥΣΤΕΓΑΖΟΜΕΝΟ ΝΗΠΙΑΓΩΓΕΙΟ - ΗΛΙΟΤΟΠΟΣ,ΧΑΤΖΗΔΑΚΗ ΑΙΚΑΤΕΡΙΝΗ,ΧΑΤΖΗΔΑΚΗ ΑΙΚΑΤΕΡΙΝΗ,ΑΝΘΙΜΟΥ ΓΑΖΗ 25 & ΙΕΡΟΠΗΓΗΣ Τ.Κ. 13123 ΙΛΙΟΝ ΤΗΛ.: 210-2626042,"105071/Ν1/1-7-2019 , ΦΕΚ 2885/Β/5-7-2019",
7053089,Δ/ΝΣΗ Π.Ε. ΑΘΗΝΑΣ Γ΄,ΙΔΙΩΤΙΚΟ ΣΥΣΤΕΓΑΖΟΜΕΝΟ ΝΗΠΙΑΓΩΓΕΙΟ - ΜΟΥΣΙΚΟ ΤΟΞΟ,Θ. ΚΟΥΝΗ-Κ. ΘΕΟΤΟΚΑΣ Ο.Ε.,ΚΟΥΝΗ ΘΕΟΔΩΡΑ,ΣΑΜΟΥ 29-31 Τ.Κ.12461 ΧΑΪΔΑΡΙ ΤΗΛ.: 210-5322114 210-5816853 6945153906 ΦΑΞ: 210-5816786,"129894/Ν1/21-08-2019 , ΦΕΚ 3278/Β/27-08-2019",
7053091,Δ/ΝΣΗ Π.Ε. ΑΘΗΝΑΣ Γ΄,ΙΔΙΩΤΙΚΟ ΣΥΣΤΕΓΑΖΟΜΕΝΟ ΝΗΠΙΑΓΩΓΕΙΟ - Η ΘΕΙΑ ΤΣΟΤΣΟ,ΑΔΑΜΗ ΕΥΦΡΟΣΥΝΗ,ΑΔΑΜΗ ΕΥΦΡΟΣΥΝΗ,"ΑΡΧΙΜΗΔΟΥΣ 19 ΚΑΙ ΖΗΝΩΝΟΣ 39 , ΤΚ 12134","148712/Ν1/25-09-2019 , ΦΕΚ 3705/Β/04-10-2019",
7053093,Δ/ΝΣΗ Π.Ε. ΑΘΗΝΑΣ Γ΄,ΙΔΙΩΤΙΚΟ ΣΥΣΤΕΓΑΖΟΜΕΝΟ ΝΗΠΙΑΓΩΓΕΙΟ - ΠΑΙΔΙΩΝ ΜΕΛΗΔΟΝΙΟ,Α. ΤΣΙΧΛΙΑΣ - Υ. ΠΡΕΒΕΝΙΟΥ Ε.Ε.,ΑΛΕΞΙΟΣ ΤΣΙΧΛΙΑΣ,"ΣΤΟΥΡΝΑΡΑ 12 , ΑΓΙΟΙ ΑΝΑΡΓΥΡΟΙ , ΤΚ 135 65","194218/Ν1/09-12-2019,ΦΕΚ 4720/Β/19-12-2019",
7053097,Δ/ΝΣΗ Π.Ε. ΑΘΗΝΑΣ Γ΄,ΙΔΙΩΤΙΚΟ ΝΗΠΙΑΓΩΓΕΙΟ - ΣΠΥΡΟΣ ΠΑΠΑΧΑΡΑΛΑΜΠΟΥΣ ΕΚΠΑΙΔΕΥΤΗΡΙΟ Ε.Π.Ε.,ΣΠΥΡΟΣ ΠΑΠΑΧΑΡΑΛΑΜΠΟΥΣ ΕΚΠΑΙΔΕΥΤΗΡΙΟ ΕΤΑΙΡΕΙΑ ΠΕΡΙΟΡΙΣΜΕΝΗΣ ΕΥΘΥΝΗΣ,ΜΑΡΙΑ ΔΙΑΛΙΑΤΣΗ,"ΠΕΛΟΠΙΔΑ 83-85, ΠΕΡΙΣΤΕΡΙ ΑΤΤΙΚΗΣ","13003/Ν1/03-02-2021 , ΦΕΚ 529/Β/10-02-2021",
7053099,Δ/ΝΣΗ Π.Ε. ΑΘΗΝΑΣ Γ΄,ΙΔΙΩΤΙΚΟ ΣΥΣΤΕΓΑΖΟΜΕΝΟ ΝΗΠΙΑΓΩΓΕΙΟ - BABY PLANET,ΣΠΥΡΙΔΩΝ ΖΙΩΓΑΣ,ΣΠΥΡΙΔΩΝ ΖΙΩΓΑΣ,"PΟΔΟΠΗΣ 31-33 , ΙΛΙΟΝ","13608/Ν1/04-02-2021,ΦΕΚ 638/Β'/17-02-2021",
7053101,Δ/ΝΣΗ Π.Ε. ΑΘΗΝΑΣ Γ΄,"ΙΔΙΩΤΙΚΟ ΝΗΠΙΑΓΩΓΕΙΟ ΠΑΙΔΙ
ΑΓΩΓΗ ΚΑΙ ΦΡΟΝΤΙΔΑ -ΛΟΥΚΕΡΗ ΜΕΛΠΟΜΕΝΗ", ΜΕΛΠΟΜΕΝΗ ΛΟΥΚΕΡΗ , ΜΕΛΠΟΜΕΝΗ ΛΟΥΚΕΡΗ ,"ΣΗΜΑΙΟΦΟΡΟΥ ΕΚΤΟΡΟΣ ΓΙΑΛΟΨΟΥ 52, ΙΛΙΟΝ","24231/Ν1/02-03-2021,ΦΕΚ 1022/Β/17-03-2021",
7053103,Δ/ΝΣΗ Π.Ε. ΑΘΗΝΑΣ Γ΄,ΙΔΙΩΤΙΚΟ ΝΗΠΙΑΓΩΓΕΙΟ - ΤΟ ΣΤΡΟΥΜΦΟΧΩΡΙΟ,ΝΙΚΟΛΑΙΔΟΥ ΑΝΑΤΟΛΗ,ΝΙΚΟΛΑΙΔΟΥ ΑΝΑΤΟΛΗ,"ΜΙΝΩΟΣ 31, ΑΙΓΑΛΕΩ ΑΤΤΙΚΗΣ","26917/Ν1/08-03-2021, ΦΕΚ 1159/Β΄/26-03-2021","42902/Ν1/14-04-2021, ΦΕΚ 1704/Β/26-04-2021"
7053105,Δ/ΝΣΗ Π.Ε. ΑΘΗΝΑΣ Γ΄,2Ο ΙΔΙΩΤΙΚΟ ΝΗΠΙΑΓΩΓΕΙΟ - ΠΑΙΔΙΚΟ ΠΟΛΥΤΕΧΝΕΙΟ,Μ. ΓΙΑΝΝΙΚΑΚΗ & ΣΙΑ Ο.Ε. ,ΠΑΠΑΣΤΑΜΑΤΙΟΥ ΣΤΑΜΑΤΙΟΣ,"ΘΕΡΜΟΠΥΛΩΝ 48, ΧΑΪΔΑΡΙ","52263/Ν1/12-05-2021,ΦΕΚ 2101/Β'/12-05-2021",
7053107,Δ/ΝΣΗ Π.Ε. ΑΘΗΝΑΣ Γ΄,ΙΔΙΩΤΙΚΟ ΣΥΣΤΕΓΑΖΟΜΕΝΟ ΝΗΠΙΑΓΩΓΕΙΟ - ΘΕΟΔΩΡΟΣ ΤΣΑΚΩΝΑΣ,ΘΕΟΔΩΡΟΣ ΤΣΑΚΩΝΑΣ,ΘΕΟΔΩΡΟΣ ΤΣΑΚΩΝΑΣ,"ΟΥΡΑΝΙΟ ΤΟΞΟ
ΑΝΑΓΕΝΝΗΣΕΩΣ 38, ΑΙΓΑΛΕΩ","119934/N1/24-9-2021, ΦΕΚ 4600/Β/6-10-2021",
7053109,Δ/ΝΣΗ Π.Ε. ΑΘΗΝΑΣ Γ΄,ΙΔΙΩΤΙΚΟ ΣΥΣΤΕΓΑΖΟΜΕΝΟ ΝΗΠΙΑΓΩΓΕΙΟ - ΠΑΡΑΣΚΕΥΟΠΟΥΛΟΣ ΕΥΑΓΓΕΛΟΣ,ΠΑΡΑΣΚΕΥΟΠΟΥΛΟΣ ΕΥΑΓΓΕΛΟΣ,ΠΑΡΑΣΚΕΥΟΠΟΥΛΟΣ ΕΥΑΓΓΕΛΟΣ,"ΜΑΡΚΟΥ ΜΠΟΤΣΑΡΗ 125, ΠΕΤΡΟΥΠΟΛΗ","119687/Ν1/23-09-2021  ,ΦΕΚ 4835/Β/20-10-2021",
7053111,Δ/ΝΣΗ Π.Ε. ΑΘΗΝΑΣ Γ΄,2Ο ΙΔΙΩΤΙΚΟ ΝΗΠΙΑΓΩΓΕΙΟ - ΤΟ ΣΤΡΟΥΜΦΟΧΩΡΙΟ,ΝΙΚΟΛΑΪΔΟΥ ΑΝΑΤΟΛΗ,ΝΙΚΟΛΑΪΔΟΥ ΑΝΑΤΟΛΗ,"ΒΕΡΡΟΙΑΣ 2,ΑΙΓΑΛΕΩ ΑΤΤΙΚΗΣ","82964/Ν1/06-07-2022,ΦΕΚ 3691/Β/13-07-2022",
7053113,Δ/ΝΣΗ Π.Ε. ΑΘΗΝΑΣ Γ΄,ΙΔΙΩΤΙΚΟ ΝΗΠΙΑΓΩΓΕΙΟ - ΝΕΡΟΜΠΟΓΙΕΣ ΚΑΙ ΝΟΤΕΣ,ΤΑΡΚΑΖΙΚΗ ΜΑΡΙΑ ,ΤΑΡΚΑΖΙΚΗ ΜΑΡΙΑ ,ΑΘΗΝΑΣ 47 ΑΙΓΑΛΕΩ ΑΤΤΙΚΗΣ,"106426/Ν1/02-09-2022, ΦΕΚ 4802/Β/12-09-2022","85571/Ν1/28-07-2023 , ΦΕΚ 4869/Β/02-08-2023 "
